國語,客語,音標,造句,備註
燈泡,電火頦,thien55 fo31 koi24,,
臉盆,面盆,mein53 phun11,,
毛巾,面帕,mein55 pha53,,
手帕,手巾,shiu31 kin24,,
抹布,桌布，桌圍,tsok2 pu53, tsok2 vui11,,
澡盆,大腳盆，洗身盆,thai55 kiok2 phun11, se31 shin24 phun11,,
抽屜,拖箱,tho33 siong24,,
水龍頭,水tho53,shui31 tho53,,
肥皂,茶ku,tsha11 ku24,,
火柴,番火,fan24 fo31,,
厚紙板,紙piong,chi31 piong33,,
柴刀,刀嬤,to24 ma11,,
圖章,印,jin53,,
手套,手jia,手襪,shiu31 jia31, shiu31 mat2,,
父親,阿爸,a33 pa33,,
母親,阿姆,a33 me33,,
祖父,阿ta,a33 ta24,,
祖母,阿ne,a24 ne31,,
伯父,阿伯,a24 pak2,,
伯母,伯姆,pak2 me24,,
伯祖父，土地公,伯公,pak2 kung33,,
伯祖母,伯婆,pak2 pho11,,
叔祖父,叔公,shuk2 kung33,,
叔祖母,叔婆,shuk2 pho11,,
舅父,阿舅,a33 khiu33,,
舅母,舅姆,khiu33 me33,,
姑姑,阿姑,a33 ku33,,
最小的姑母,滿姑,man33 ku33,,滿亦寫作「尾子」
哥哥,阿哥,a33 ko33,,
弟弟,老弟,lo31 the33,,
姐姐,阿姐,a33 tse53,,
妹妹,老妹,lo31 moi53,,
嫂嫂,阿嫂,a24 so31,,
弟媳婦,老弟嫂,lo31 the24 so31,,
連襟,大細仙,thai55 se53 sien33,,
姐夫,姐丈,tsii31 chhiong55,,
妹夫,老妹婿,lo31 moi55 se53,,
丈夫,老公,lo31 kung33,,
妻子,輔娘,pu24 ngiong11,,輔亦寫作「餔」、「女甫」
已婚女性,婦人家,fu53 ngin11 ka33,,
兩夫妻,兩公姐,liong31 kung24 chia31,,
嬰兒,o nga,o11 nga24,,
最小的女兒,滿妹,man33 moi53,,滿亦寫作「尾子」
兒媳婦,心舅,sim33 khiu33,,亦寫作「薪臼」
女婿,婿郎,se53 long11,,
孫媳婦,孫心舅,sun33 sim33 khiu33,,
孫子,孫,sun24,,
玄孫,跳蚤,thiau55 tsau31,,
侄兒,侄,chhit5,,
公公,家官,ka33 kuan33,,
婆婆,家娘,ka24 ngiong11,,
岳父,丈人老，丈眠老,chhiong55 ngin11 lo31, chhiong24 min11 lo31,,
岳母,丈人哀，丈眠哀,chhiong55 ngin11 oi33, chhiong24 min11 oi33,,哀亦寫作「女哀」
親家母,賒姆,chhia33 me33,,賒為借字音
父母,爺哀,jia11 oi33,,哀亦寫作「女哀」
夫妻,公姐,kung24 chia31,,
子女,賴妹,lai55 moi53,,賴亦寫作「孻」
母子,子哀,tsii31 oi24,,
父子,子爺,tsii31 jia11,,
繼母,後哀,heu53 oi24,,
年輕,後生,heu53 sang24,,
這,這,lia31,,這借字義
那,該,ke55,,該借字義
這裡,這位，liong,lia31 vui53, liong24,,
那裡,該位，kong,ke55 vui53, kong24,,
游手好閒的人,不lat子,put2 lat5 tsii31,,
懶惰的女人,懶尸嬤,nan33 shi24 ma11,,
小偷,賊(牯),tshet5 (ku31),,
淘氣鬼,luk人精,luk2 ngin11 chin33,,
紈褲子弟,公子阿舍,kung24 tsii31 a33 shia53,,
妓女,妓女，賺食妓,khi24 ng31, tshon55 shit5 chi24,,
沒有結婚的老婦,老姑婆,lo31 ku24 pho11,,
單身漢,羅漢腳,lo11 hon53 kiok2,,
個性孤僻,孤佬,ku24 lo31,,
男人的婚外情人,鶴佬嬤,hok5 lo31 ma11,,借字音
婦人的婚外情人,契哥,khe53 ko24,,
偷情,fo ki,fo11 ki53,,
瘋女人,癲嬤,tien24 ma11,,
